Año,Indice de explosividad volcánica,Tipo de volcán,Elevación,Flag Tsunami,Flag Terremoto,Nombre y pais
1280,6,Caldera,Radiocarbon,False,False,Quilotoa (Ecuador)
1540,4,Domo de lava,Historical,True,False,Augustine (Alaska-SW)
1660,6,Volcán complejo,Historical,True,False,Long Island (New Guinea-NE of)
1858,,Estratovolcán,Historical,False,True,Tate-yama (Honshu-Japan)
1864,2,Estratovolcán,Historical,False,False,Kelut (Java)
1873,2,Estratovolcán,Historical,False,False,Ragang (Mindanao-Philippines)
1902,3,Estratovolcán,Historical,False,False,Tori-shima (Izu Is-Japan)
1907,2,Volcán en escudo,Historical,False,False,Alayta (Africa-NE)
1909,2,Estratovolcán,Historical,False,False,Semeru (Java)
1919,4,Estratovolcán,Historical,False,False,Kelut (Java)
1919,,Estratovolcán,Historical,False,False,Nasu (Honshu-Japan)
1920,3,Estratovolcán,Historical,False,False,Izalco (El Salvador)
1938,,Estratovolcán,Historical,False,False,Bandai (Honshu-Japan)
1949,3,Estratovolcán,Historical,False,False,Villarrica (Chile-C)
1963,3,Estratovolcán,Historical,False,False,Fuego (Guatemala)
1968,3,Estratovolcán,Historical,False,False,Mayon (Luzon-Philippines)
1985,3,Estratovolcán,Historical,False,False,Semeru (Java)
1992,2,Volcán complejo,Historical,False,False,Marapi (Sumatra)
2001,2,Estratovolcán,Historical,False,False,Stromboli (Italy)
2004,4,Estratovolcán,Historical,False,False,Manam (New Guinea-NE of)
2010,,Estratovolcán,Holocene,True,True,Sarigan (Mariana Is-C Pacific)
2018,2,Estratovolcán,Historical,False,True,Etna (Italy)
2020,,Estratovolcán,Historical,False,False,Taal (Luzon-Philippines)
1357,4,Volcán subglacial,Historical,False,False,Katla (Iceland-S)
1586,5,Estratovolcán,Historical,False,False,Kelut (Java)
1730,,Cono piroclástico,Radiocarbon,False,False,Tseax River Cone (Canada)
1823,0,Volcán en escudo,Historical,False,False,Kilauea (Hawaiian Is)
1832,3,Estratovolcán,Historical,False,False,Merapi (Java)
1838,2,Estratovolcán,Historical,False,False,Gamalama (Halmahera-Indonesia)
1858,2,Estratovolcán,Historical,False,False,Mayon (Luzon-Philippines)
1872,3,Caldera,Historical,False,False,Aso (Kyushu-Japan)
1879,2,Estratovolcán,Historical,True,False,Stromboli (Italy)
1893,2,Estratovolcán,Historical,False,False,Azuma (Honshu-Japan)
1918,3,volcán submarino,Historical,True,False,Banua Wuhu (Sangihe Is-Indonesia)
1940,2,Estratovolcán,Historical,False,False,Miyake-jima (Izu Is-Japan)
1966,3,Estratovolcán,Historical,True,False,Tinakula (Santa Cruz Is-SW Pac)
1970,3,Estratovolcán,Historical,False,False,Hekla (Iceland-S)
1974,4,Estratovolcán,Historical,False,False,Fuego (Guatemala)
