usuarie,dificultad,puntaje
dkjsn,Facil,800
dkjsn,Facil,1
dhhhh,Facil,10
dkdsn,Facil,80
dhffh,Facil,880
dkjsn,Facil,800
dhhhh,Facil,10
dkdsn,Facil,80
dhffh,Facil,880
dhffh,Facil,1
dkjsn,Facil,800
dhhhh,Facil,10
dkdsn,Facil,80
dhffh,Facil,880
dkjsn,Facil,800
dhhhh,Facil,10
dkdsn,Facil,80
dhffh,Facil,880
dkjsn,Facil,800
dhhhh,Facil,10
dkdsn,Facil,80
dhffh,Facil,880
dkjsn,Facil,800
dhhhh,Facil,10
dkdsn,Facil,80
dhffh,Facil,880
dkjsn,Facil,800
dhhhh,Facil,10
dkdsn,Facil,80
dhffh,Facil,880
aaaa,Normal,100
aaaa,Normal,100
aaaa,Normal,100
aaaa,Normal,100
aaaa,Normal,100
aaaa,Normal,100
aaaa,Normal,100
aaaa,Normal,100
aaaa,Normal,100
aaaa,Normal,100
aaaa,Normal,100
Isidro,Dificil,10
